,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
125,Navsari,20.9524,72.9324,71.6,56,0,4.03,IN,1613148980,Circuit House
138,Māngrol,21.1167,70.1167,70.61,73,0,6.98,IN,1613148982,Hotel The Royal Honours
174,Doha,25.2867,51.5333,71.6,40,0,9.22,QA,1613148735,Doha Marriott Hotel
193,Poum,-20.2333,164.0167,78.73,72,0,4.94,NC,1613148992,Gîte kajeon
230,La Reforma,25.0833,-108.05,73.0,55,0,1.01,MX,1613148998,Arremar Angostura
275,Malanje,-9.5402,16.340999999999998,71.2,82,0,5.48,AO,1613149006,Malanje Hotel
367,Carahue,-38.7,-73.1667,73.4,60,0,5.75,CL,1613149023,Hospedaje Familiar
370,Umluj,25.0213,37.2685,76.73,65,0,7.16,SA,1613149024,Moon light Furnished Units
414,Grand Gaube,-20.0064,57.6608,75.99,78,0,3.0,MU,1613149032,Veranda Paul et Virginie Hotel & Spa
426,Salalah,17.0151,54.0924,77.0,53,0,4.61,OM,1613149034,HAMDAN PLAZA HOTEL SALALAH
432,Revadanda,18.5503,72.9278,78.8,65,0,4.61,IN,1613149035,OYO 22032 P P Motel
446,Cap Malheureux,-19.9842,57.6142,75.99,78,0,3.0,MU,1613149037,Pereybere Hotel & Spa
